end_date,brand,interview_mode,sample_size,p_lnp,p_alp,p_grn,p_onp,p_other,tpp_lnp,tpp_alp
7/11/2021,Roy Morgan ,Telephone/Online ,2723,36.5%,35%,11.5%,3%,14%,46.50%,53.50%
24/10/2021,Roy Morgan ,Telephone/Online ,2778,36.5%,35%,13.5%,3.5%,11.5%,46.00%,54.00%
23/10/2021,Newspoll-YouGov ,Online ,1515,35%,38%,11%,3%,13%,46.00%,54.00%
10/10/2021,Roy Morgan ,Telephone/Online ,2794,37.5%,36%,11.5%,3%,12%,47.00%,53.00%
02/10/2021,Newspoll-YouGov ,Online ,1545,37%,37%,11%,2%,13%,47.00%,53.00%
26/09/2021,Roy Morgan ,Telephone/Online ,2752,36%,36%,12.5%,3.5%,12%,46.00%,54.00%
19/09/2021,Resolve Strategic ,Online ,1606,39.00%,31.00%,10.00%,4.00%,16.00%,,
18/09/2021,Newspoll-YouGov ,Online ,,37%,38%,10%,3%,12%,47.00%,53.00%
12/09/2021,Roy Morgan ,Telephone/Online ,2735,39.5%,35%,13%,3%,10%,47.50%,52.50%
29/08/2021,Roy Morgan ,Telephone/Online ,2735,37.5%,38.5%,11.5%,3%,9.5%,45.50%,54.50%
28/08/2021,Newspoll-YouGov ,Online ,1528,36%,40%,10%,3%,11%,46.00%,54.00%
21/08/2021,Resolve Strategic ,Online ,1607,40%,32%,12%,2%,14%,,
15/08/2021,Roy Morgan ,Telephone/Online ,2747,37.5%,37.5%,12.5%,3.5%,9%,46.00%,54.00%
07/08/2021,Newspoll-YouGov ,Online ,1527,39%,39%,11%,3%,8%,47.00%,53.00%
01/08/2021,Roy Morgan ,Telephone/Online ,2709,37%,37%,12.5%,3%,10.5%,46.50%,53.50%
19/07/2021,Essential ,Online ,,37%,36%,10%,4%,6%,45.00%,47.00%
18/07/2021,Roy Morgan ,Telephone/Online ,2737,39%,37%,11.5%,3%,9.5%,47.50%,52.50%
17/07/2021,Resolve Strategic ,Online ,1607,38%,35%,12%,4%,12%,,
17/07/2021,Newspoll-YouGov ,Online ,1506,39%,39%,10%,3%,9%,47.00%,53.00%
05/07/2021,Essential ,Online ,,37%,36%,8%,4%,5%,44.00%,48.00%
26/06/2021,Newspoll-YouGov ,Online ,1513,41%,37%,11%,3%,8%,49.00%,51.00%
20/06/2021,Roy Morgan ,Telephone/Online ,2782,41.5%,34.5%,12%,3.5%,8.5%,49.50%,50.50%
21/06/2021,Essential ,Online ,,38%,36%,10%,4%,5%,45.00%,47.00%
13/06/2021,Resolve Strategic ,Online ,1600,40%,36%,10%,3%,12%,,
07/06/2021,Essential ,Online ,,38%,35%,10%,4%,7%,44.00%,48.00%
06/06/2021,Roy Morgan ,Telephone/Online ,2817,40%,35.5%,11.5%,3%,10%,49.00%,51.00%
05/06/2021,Newspoll-YouGov ,Online ,1516,41%,36%,11%,3%,9%,50.00%,50.00%
24/05/2021,Essential ,Online ,,37%,35%,10%,3%,6%,44.00%,48.00%
16/05/2021,Resolve Strategic ,Online ,1622,39%,35%,12%,2%,13%,,
15/05/2021,Newspoll-YouGov ,Online ,1506,41%,36%,12%,2%,9%,49.00%,51.00%
10/05/2021,Essential ,Online ,,38%,36%,9%,3%,6%,44.00%,48.00%
26/04/2021,Essential ,Online ,,39%,34%,10%,4%,6%,46.00%,46.00%
24/04/2021,Newspoll-YouGov ,Online ,1514,41%,38%,10%,3%,8%,49.00%,51.00%
16/04/2021,Resolve Strategic ,CATI/Online ,2000,38%,33%,12%,6%,11%,,
12/04/2021,Essential ,Online ,,37%,36%,10%,3%,7%,45.00%,48.00%
29/03/2021,Essential ,Online ,,39%,36%,8%,3%,7%,46.00%,47.00%
27/03/2021,Newspoll-YouGov ,Online ,1517,40%,38%,11%,2%,9%,48.00%,52.00%
15/03/2021,Essential ,Online ,,38%,34%,9%,3%,8%,47.00%,47.00%
14/03/2021,Roy Morgan ,Telephone/Online ,2747,41%,34.5%,12.5%,2.5%,9.5%,49.50%,50.50%
13/03/2021,Newspoll-YouGov ,Online ,1521,39%,39%,10%,3%,9%,48.00%,52.00%
01/03/2021,Essential ,Online ,,37%,34%,9%,4%,8%,45.00%,48.00%
20/02/2021,Newspoll-YouGov ,Online ,1504,42%,37%,10%,3%,8%,50.00%,50.00%
15/02/2021,Essential ,Online ,,39%,35%,8%,4%,7%,47.00%,47.00%
14/02/2021,Roy Morgan ,Telephone/Online ,2786,40%,34.5%,13%,3.5%,9%,49.50%,50.50%
01/02/2021,Essential[29] ,Online ,1092,37%,35%,10%,3%,7%,44.00%,47.00%
30/01/2021,Newspoll-YouGov ,Online ,1512,42%,36%,10%,3%,9%,50.00%,50.00%
18/01/2021,Essential ,Online ,,40%,33%,10%,3%,7%,48.00%,45.00%
14/12/2020,Essential ,Online ,,37%,35%,8%,4%,7%,45.00%,46.00%
30/11/2020,Essential ,Online ,,41%,33%,8%,4%,6%,49.00%,43.00%
28/11/2020,Newspoll-YouGov ,Online ,1511,43%,36%,11%,2%,8%,51.00%,49.00%
16/11/2020,Essential ,Online ,,38%,35%,9%,4%,6%,45.00%,47.00%
22/11/2020,Roy Morgan ,Telephone/Online ,2824,42%,34%,12%,4%,8%,50.50%,49.50%
07/11/2020,Newspoll-YouGov ,Online ,1510,43%,35%,11%,3%,8%,51.00%,49.00%
02/11/2020,Essential ,Online ,,39%,35%,9%,3%,5%,44.00%,46.00%
19/10/2020,Essential ,Online ,,39%,35%,9%,3%,7%,48.00%,45.00%
12/10/2020,Essential ,Online ,,40%,33%,9%,3%,5%,47.00%,44.00%
10/10/2020,Newspoll-YouGov ,Online ,1527,44%,34%,11%,3%,8%,52.00%,48.00%
05/10/2020,Essential ,Online ,,39%,34%,9%,5%,6%,47.00%,46.00%
21/09/2020,Essential ,Online ,,41%,31%,10%,4%,5%,49.00%,42.00%
19/09/2020,Newspoll-YouGov ,Online ,2068,43%,34%,12%,3%,8%,51.00%,49.00%
07/09/2020,Essential ,Online ,,38%,32%,10%,3%,9%,45.00%,47.00%
29/08/2020,Newspoll-YouGov ,Online ,1507,41%,36%,11%,3%,9%,50.00%,50.00%
24/08/2020,Essential ,Online ,,39%,35%,9%,4%,6%,47.00%,45.00%
16/08/2020,Roy Morgan ,Telephone/Online ,2841,46%,32.5%,11%,3%,7.5%,54.00%,46.00%
10/08/2020,Essential ,Online ,,38%,34%,9%,4%,5%,46.00%,44.00%
08/08/2020,Newspoll-YouGov ,Online ,1509,43%,33%,11%,4%,9%,52.00%,48.00%
26/07/2020,Essential ,Online ,1058,38%,35%,9%,4%,6%,45.00%,47.00%
19/07/2020,Roy Morgan ,Telephone/Online ,2589,43.5%,33.5%,11%,2.5%,9.5%,51.50%,48.50%
18/07/2020,Newspoll-YouGov ,Online ,1850,44%,34%,10%,4%,8%,53.00%,47.00%
13/07/2020,Essential ,Online ,1054,37%,34%,10%,4%,6%,45.00%,46.00%
29/06/2020,Essential ,Online ,1079,39%,33%,9%,4%,6%,47.00%,45.00%
27/07/2020,Newspoll-YouGov ,Online ,1521,42%,35%,11%,3%,9%,51.00%,49.00%
22/06/2020,Essential ,Online ,1079,39%,33%,10%,5%,6%,48.00%,46.00%
21/07/2020,Roy Morgan ,Telephone/Online ,2593,42.5%,34.5%,10.5%,4%,8.5%,50.50%,49.50%
15/06/2020,Essential ,Online ,1087,38%,35%,9%,5%,7%,47.00%,47.00%
08/06/2020,Essential ,Online ,1073,40%,33%,9%,4%,6%,47.00%,45.00%
06/06/2020,Newspoll-YouGov ,Online ,1512,42%,34%,12%,4%,8%,51.00%,49.00%
16/05/2020,Newspoll-YouGov ,Online ,1504,43%,35%,10%,3%,9%,51.00%,49.00%
26/04/2020,Roy Morgan ,Telephone/Online ,2806,43.5%,33%,11.5%,3%,9%,51.50%,48.50%
25/04/2020,Newspoll-YouGov ,Online ,1519,41%,36%,12%,4%,7%,50.00%,50.00%
03/04/2020,Newspoll-YouGov ,Online ,1508,42%,34%,13%,5%,6%,51.00%,49.00%
14/03/2020,Newspoll-YouGov ,Online ,1501,40%,36%,12%,4%,8%,49.00%,51.00%
22/02/2020,Newspoll-YouGov ,Online ,1513,38%,34%,13%,4%,11%,49.00%,51.00%
03/02/2020,Australian National University ,CATI/Online ,3249,34.8%,33.4%,14.7%,,10.5%,,
01/02/2020,Newspoll-YouGov ,Online ,1510,38%,35%,13%,4%,10%,48.00%,52.00%
11/01/2020,Newspoll-YouGov ,Online ,1505,40%,36%,12%,4%,8%,49.00%,51.00%
08/12/2019,Newspoll-YouGov ,Online ,1503,42%,33%,11%,5%,9%,52.00%,48.00%
23/11/2019,Newspoll-YouGov ,Online[58] ,1519,41%,33%,12%,5%,9%,51.00%,49.00%
10/11/2019,Newspoll-YouGov ,IVR/Online ,1682,40%,35%,12%,7%,6%,50.00%,50.00%
20/10/2019,Newspoll-YouGov ,IVR/Online ,1634,42%,33%,13%,6%,6%,51.00%,49.00%
29/09/2019,Newspoll-YouGov ,IVR/Online ,1658,42%,33%,13%,6%,6%,51.00%,49.00%
07/09/2019,Newspoll-YouGov ,IVR/Online ,1661,43%,35%,12%,5%,5%,51.00%,49.00%
18/08/2019,Newspoll-YouGov ,IVR/Online ,1623,42%,34%,11%,4%,9%,51.00%,49.00%
28/07/2019,Newspoll-YouGov ,IVR/Online ,1601,44%,33%,11%,3%,9%,53.00%,47.00%
